"table","dataset","model","mode","old_paper_macro_auroc","new_paper_macro_auroc","source","status"
"Table 4","ptbxl_sub","ST-MEM","Frozen","NOT_REPORTED / NA","0.931","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 4","ptbxl_sub","MERL","Frozen","NOT_REPORTED / NA","0.917","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 4","ptbxl_sub","ECGFM-KED","Frozen","NOT_REPORTED / NA","0.816","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 4","ptbxl_sub","HuBERT-ECG","Frozen","NOT_REPORTED / NA","0.903","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 4","ptbxl_sub","ECG-CPC","Frozen","NOT_REPORTED / NA","0.934","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 4","ptbxl_sub","ECG-FM","Frozen","NOT_REPORTED / NA","0.912","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 4","ptbxl_super","ECGFounder","Frozen","NOT_REPORTED / NA","0.928","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 4","ptbxl_super","ECG-JEPA","Frozen","NOT_REPORTED / NA","0.917","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 4","ptbxl_super","ST-MEM","Frozen","NOT_REPORTED / NA","0.923","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 4","ptbxl_super","MERL","Frozen","NOT_REPORTED / NA","0.915","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 4","ptbxl_super","ECGFM-KED","Frozen","NOT_REPORTED / NA","0.865","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 4","ptbxl_super","HuBERT-ECG","Frozen","NOT_REPORTED / NA","0.892","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 4","ptbxl_super","ECG-CPC","Frozen","NOT_REPORTED / NA","0.919","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 4","ptbxl_super","ECG-FM","Frozen","NOT_REPORTED / NA","0.877","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 4 (Frozen evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 5","ptbxl_all","ECGFounder","Linear","NOT_REPORTED / NA","0.931","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 5","ptbxl_all","ECG-JEPA","Linear","NOT_REPORTED / NA","0.928","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 5","ptbxl_all","ST-MEM","Linear","NOT_REPORTED / NA","0.908","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 5","ptbxl_all","MERL","Linear","NOT_REPORTED / NA","0.883","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 5","ptbxl_all","ECGFM-KED","Linear","NOT_REPORTED / NA","0.706","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 5","ptbxl_all","HuBERT-ECG","Linear","NOT_REPORTED / NA","0.867","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 5","ptbxl_all","ECG-CPC","Linear","NOT_REPORTED / NA","0.904","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 5","ptbxl_all","ECG-FM","Linear","NOT_REPORTED / NA","0.841","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 5","ptbxl_sub","ECGFounder","Linear","NOT_REPORTED / NA","0.945","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 5","ptbxl_sub","ECG-JEPA","Linear","NOT_REPORTED / NA","0.916","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 5","ptbxl_sub","ST-MEM","Linear","NOT_REPORTED / NA","0.916","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 5","ptbxl_sub","MERL","Linear","NOT_REPORTED / NA","0.895","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 5","ptbxl_sub","ECGFM-KED","Linear","NOT_REPORTED / NA","0.734","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 5","ptbxl_sub","HuBERT-ECG","Linear","NOT_REPORTED / NA","0.898","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 5","ptbxl_sub","ECG-CPC","Linear","NOT_REPORTED / NA","0.886","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 5","ptbxl_sub","ECG-FM","Linear","NOT_REPORTED / NA","0.866","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 5","ptbxl_super","ECGFounder","Linear","NOT_REPORTED / NA","0.924","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 5","ptbxl_super","ECG-JEPA","Linear","NOT_REPORTED / NA","0.911","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 5","ptbxl_super","ST-MEM","Linear","NOT_REPORTED / NA","0.896","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 5","ptbxl_super","MERL","Linear","NOT_REPORTED / NA","0.887","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 5","ptbxl_super","ECGFM-KED","Linear","NOT_REPORTED / NA","0.802","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 5","ptbxl_super","HuBERT-ECG","Linear","NOT_REPORTED / NA","0.877","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 5","ptbxl_super","ECG-CPC","Linear","NOT_REPORTED / NA","0.863","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 5","ptbxl_super","ECG-FM","Linear","NOT_REPORTED / NA","0.873","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 5 (Linear evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 3","ptbxl_sub","ECGFounder","Finetuning","NOT_REPORTED / NA","0.943","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 3","ptbxl_sub","ECG-JEPA","Finetuning","NOT_REPORTED / NA","0.935","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 3","ptbxl_sub","ST-MEM","Finetuning","NOT_REPORTED / NA","0.916","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 3","ptbxl_sub","MERL","Finetuning","NOT_REPORTED / NA","0.937","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 3","ptbxl_sub","ECGFM-KED","Finetuning","NOT_REPORTED / NA","0.908","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 3","ptbxl_sub","HuBERT-ECG","Finetuning","NOT_REPORTED / NA","0.918","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 3","ptbxl_sub","ECG-CPC","Finetuning","NOT_REPORTED / NA","0.940","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 3","ptbxl_sub","ECG-FM","Finetuning","NOT_REPORTED / NA","0.932","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 3","ptbxl_sub","S4","Finetuning","NOT_REPORTED / NA","0.938","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 3","ptbxl_sub","Net1D","Finetuning","NOT_REPORTED / NA","0.926","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 3","ptbxl_super","ECGFounder","Finetuning","NOT_REPORTED / NA","0.935","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 3","ptbxl_super","ECG-JEPA","Finetuning","NOT_REPORTED / NA","0.921","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 3","ptbxl_super","ST-MEM","Finetuning","NOT_REPORTED / NA","0.901","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 3","ptbxl_super","MERL","Finetuning","NOT_REPORTED / NA","0.930","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 3","ptbxl_super","ECGFM-KED","Finetuning","NOT_REPORTED / NA","0.905","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 3","ptbxl_super","HuBERT-ECG","Finetuning","NOT_REPORTED / NA","0.908","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 3","ptbxl_super","ECG-CPC","Finetuning","NOT_REPORTED / NA","0.934","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 3","ptbxl_super","ECG-FM","Finetuning","NOT_REPORTED / NA","0.916","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 3","ptbxl_super","S4","Finetuning","NOT_REPORTED / NA","0.932","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
"Table 3","ptbxl_super","Net1D","Finetuning","NOT_REPORTED / NA","0.924","Benchmarking ECG FMs: A Reality Check Across Clinical Tasks; project_notes/source_materials/arxiv_source/main.tex; Table 3 (Finetuning evaluation), PTB-XL (all/sub/super) rows","REPORTED_IN_PAPER"
